fold,accuracy,macro_f1,f1_positive,f1_negative,f1_neutral,f1_positive_sarcasm,f1_negative_sarcasm
1,0.25830258302583026,0.19654273970304506,0.33,0.2900763358778626,0.07692307692307693,0.0,0.2857142857142857
2,0.3037037037037037,0.2527522400862928,0.34782608695652173,0.3443708609271523,0.17857142857142858,0.043478260869565216,0.34951456310679613
3,0.28888888888888886,0.2425244543720043,0.36,0.034482758620689655,0.19230769230769232,0.3275862068965517,0.2982456140350877
4,0.2740740740740741,0.25594827959234745,0.2824858757062147,0.2638888888888889,0.23076923076923078,0.14545454545454545,0.35714285714285715
5,0.24814814814814815,0.21929491307630763,0.2903225806451613,0.06153846153846154,0.1724137931034483,0.2564102564102564,0.3157894736842105
mean±std,0.2746±0.0201,0.2334±0.0225,0.3221±0.0308,0.1989±0.1262,0.1702±0.0509,0.1546±0.1238,0.3213±0.0280
