configuration,n_features,mean_accuracy,mean_macro_f1,mean_sarcasm_f1
aux_only,4,0.4625939592729261,0.43675491183865656,0.4320549200205611
no_clip,4,0.3819215525488588,0.3334717749719238,0.350927755897954
Dsem,5,0.489249692496925,0.4503906312911547,0.4434785235918969
Dsen,5,0.43375153751537515,0.4283965378972738,0.4343097093114266
Fvt,5,0.46703567035670357,0.4429483040951638,0.43867166878370967
Dsem+Dsen,6,0.45522755227552275,0.4458482838097086,0.46678343420754037
Dsem+Fvt,6,0.49072844061773957,0.4522982338860938,0.44612742802625727
Dsen+Fvt,6,0.4367090337570042,0.4316424248683498,0.44225914768306024
Dsem+Dsen+Fvt,7,0.45374333743337436,0.446036242503285,0.4654711060084889
